"Machinery or Equipment Dealers--Construction
or Industrial--Mobile Type",15060,5082,423810,Contractors Machinery Dealer,8107,8107,814,8107,8107,8107,814,8107
FastComp.com 45 (800 ) 476-2948,,,,,,,,,,,,

ISO Description,ISO CGL,SIC,NAICS,General Description,NCCI,CA WC,DE WC,MI WC,NJ WC,NY WC,PA WC,TX WC
Machinery or Equipment Dealers--Farm Type,15061,5083,423820,Farm Machinery Dealer--All Operations,8116,8116,814,8116,8116,8116,814,8107
"Machinery or Equipment Dealers--Yard or
Garden Type",15063,5261,444210,"Store: Agriculture Implement--Not Farm
Machinery",8010,8017,926,8010,8010,7998,926,8017
"Machinery or Equipment--Farm--Installation,
Servicing, Repair or Erection",97221,7699,811310,"Machinery or Equipment--Farm--Installation,
Servicing, Repair or Erection",3632,3632,461,3632,3632,3632,461,3632
,,1796,238290,Floodlights--Erection of Temporary,3724,3724,661,3724,3724,3724,661,3724
,,,,Floodlights,,,,,,,,
"Machinery or Equipment--Industrial--Installation,",97222,1796,238290,Pump Installation NOC,3724,3724,675,3724,3724,3724,675,3724
Servicing or Repair,,,,,,,,,,,,
,,1796,238290,Scales: Installation or Adjustment--Platform or,3724,3724,675,3724,3724,3724,675,3724
,,,,Beam Type,,,,,,,,
,,7699,811219,Electronic and Precision Equipment Repair,5191,5128,952,5191,5191,5191,952,5191
,,,,and Maintenance,,,,,,,,
,,7699,811411,Home and Garden Equipment Repair and,3632,3569,461,3632,3632,3632,461,3632
,,,,Maintenance,,,,,,,,
"Machinery or Equipment--Installation, Servicing",97223,1796,238290,Machinery or Equipment Erection NOC,3724,3724,675,3724,3724,3724,675,3724
or Repair,,,,,,,,,,,,
,,1796,238290,Machinery or Equipment Repair NOC,3724,3724,675,3724,3724,3737,675,3724
,,1796,238290,Millwright Work NOC,3724,3724,675,3724,3724,3724,675,3724
,,3564,333411,Air Purification Equipment Mfg.,4243,4243,259,4243,4243,4243,257,4243
,,3423,332212,Machinery Mfg.--Portable Tools and Lawn,3126,3501,441,3628,3632,3126,441,3126
,,,,Care (CA),,,,,,,,
Machinery or Machinery Parts Mfg.,56654,3594,333996,Machinery Mfg.--Swimming Pool and Spa,3612,3501,461,3628,3612,3612,461,3507
,,,,(CA),,,,,,,,
,,3553,333210,Sawmill and Woodworking Machinery Mfg.,3632,3632,464,3632,3632,3632,461,3632
,,3596,333997,Scale and Balance Mfg.,3559,3560,464,3559,3507,3559,461,3507
,,Var.,333992,Welding and Soldering Equipment Mfg.,3507,3507,461,3507,3507,3507,461,3507
,,3531,333120,"Dredge, Steam Shovel or Construction",3507,3507,461,3507,3507,3507,461,3507
,,,,Machinery Mfg. NOC,,,,,,,,
,,3535,333922,Machinery Mfg.--Conveyor or Hoisting,3507,3560,465,3628,3507,3507,465,3507
,,,,Systems,,,,,,,,
,,3532,333131,Mining Machinery and Equipment Mfg.,3507,3560,N/A,3507,3507,3507,N/A,3507
,,,,(NAICS),,,,,,,,
Machinery or Machinery Parts Mfg.--,56650,3533,333132,Oil and Gas Field Machinery and Equipment,3507,3507,463,3507,3507,3507,463,3507
"Construction, Mining or Materials Handling Type",,,,Mfg.,,,,,,,,
,,3536,333923,"Overhead Traveling Crane, Hoist, and",3507,3560,465,3628,3507,3507,465,3507
,,,,Monorail System Mfg.,,,,,,,,
,,3531,333120,Road or Street Making Machinery Mfg.,3507,3507,461,3507,3507,3507,461,3507
,,3531,333120,Tractor Mfg.--Caterpillar Type,3507,3507,463,3507,3507,3507,463,3507
Machinery or Machinery Parts Mfg.--Farm Type,56651,"3523
3531","333111
333120","Agricultural Machinery Mfg.
Construction or Agricultural Machinery Mfg.","3507
3507","3507
3507","461
461","3507
3507","3507
3507","3507
3507","461
461","3507
3507"
,,"3556
Var.
3593
3564","333294
333999
333995
333412","Confection Machine Mfg.
Cotton Gin Machine Mfg.
Fluid Power Cylinder and Actuator Mfg.
Industrial and Commercial Fan and Blower
Mfg. (NAICS)","3559
3507
3612
3179","3560
3507
3612
3179","464
461
461
473","3559
3507
3612
3179","3507
3507
3612
3179","3559
3507
3612
3179","461
461
461
473","3507
3507
3126
3179"
FastComp.com 46 (800 ) 476-2948,,,,,,,,,,,,

ISO Description,ISO CGL,SIC,NAICS,General Description,NCCI,CA WC,DE WC,MI WC,NJ WC,NY WC,PA WC,TX WC
,,3567,333994,Industrial Process Furnace and Oven Mfg.,3507,3507,461,3507,3507,3507,461,3507
,,,,(NAICS),,,,,,,,
,,3537,333924,"Industrial Truck, Tractor, Trailer, and Stacker",3507,3560,461,3628,3507,3507,461,3507
,,,,Machinery Mfg. (NAICS),,,,,,,,
Machinery or Machinery Parts Mfg.--Industrial,56652,3552,333292,Loom Harness or Reed Mfg.,3515,3560,464,3628,3516,3515,461,3507
Type,,,,,,,,,,,,
,,3565,333993,Packaging Machinery Mfg.,3507,3507,464,3507,3507,3507,461,3507
,,3554,333291,Paper Industry Machinery Mfg.,3507,3507,464,3507,3507,3507,461,3507
,,3559,333220,Plastics and Rubber Industry Machinery Mfg.,3507,3507,461,3507,3507,3507,461,3507
,,3555,333293,Printing or Bookbinding Machine Mfg.,3548,3560,464,3548,3548,3548,461,3548
,,3559,333295,Semiconductor Machinery Mfg.,3507,3507,461,3507,3507,3507,461,3507
,,3552,333292,Textile Machinery Mfg.,3515,3560,464,3628,3516,3515,461,3507
"Machinery or Machinery Parts Mfg.--
Metalworking",56653,"3549
3547","333518
333516","Machinery or Machinery Parts Mfg.--
Metalworking
Rolling Mill Machinery and Equipment Mfg.","3507
3507","3507
3507","461
N/A","3507
3507","3507
3507","3507
3507","461
N/A","3507
3507"
Mail Box or Packaging Stores,15070,7389,561431,Mail Box or Packaging Stores (CGL),8800,8800,928,8800,8800,8800,928,4299
Mail Order Houses,45901,5961,454113,Showroom Salespersons (NY),8018,8018,924,8018,8018,8747,924,8018
Mail Order or Online Drug Stores,45900,5961,454113,Mail Order or Online Drug Stores,8047,8018,927,8047,8047,8047,927,8047
Mailing or Addressing Companies,45937,"7389
7389
7389","561431
561431
561431","Letter Service Shop--Clerical Staff
Mailing or Addressing Co. or Letter Service
Shop
Mailing or Addressing Co. or Letter Service
Shop--Clerical","8799
8800
8799","8800
8800
8800","948
948
948","8800
8800
8800","8800
8800
8800","8800
8800
8800","948
948
948","4299
4299
4299"
Manufacturers,54444,"2865
N/A","325192
N/A","Cyclic Crude and Intermediate Mfg. (NAICS)
Manufacturers","1463
N/A","1463
N/A","551
N/A","1463
N/A","1463
N/A","1470
N/A","551
N/A","1463
N/A"
Manufacturers' Representatives,45993,5963,454390,Manufacturers Representatives,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Marine Appraisers or Surveyors,97308,8713,541370,Marine Appraiser or Surveyor,8720,7248,951,8720,8720,8720,951,4511
"Markets--Not Open Air (Lessor's Risk Only) Not-
For-Profit Only",15120,6512,531120,"Markets--Not Open Air (Lessor's Risk)
(Nonprofit) (CGL)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Markets--Not Open Air (Lessor's Risk Only)
Other Than Not-For-Profit",15119,6512,531120,Markets--Not Open Air (Lessor's Risk) (CGL),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Markets--Open Air (Lessor's Risk Only) Not-For-
Profit Only",15124,6512,531120,"Markets--Open Air (Lessor's Risk) (Nonprofit)
(CGL)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Markets--Open Air (Lessor's Risk Only) Other
Than Not-For-Profit",15123,6512,531120,Markets--Open Air (Lessor's Risk) (CGL),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,,1741,238140,Chimney Construction--Not Metal,5222,5222,653,5222,5000,5000,653,5213
,,1741,238140,Fireplace Construction,5022,5027,653,5022,5022,5022,653,5022
Masonry,97447,1741,238140,Masonry NOC,5022,5027,653,5022,5022,5022,653,5022
,,1741,238140,Silo Erection--Masonry or Tile,5022,5027,653,5022,5022,5022,653,5022
,,1741,238140,Smokestack or Chimney Lining--Not Metal,5222,5222,655,5222,5000,5000,655,5213
Match Mfg.,56690,3999,325998,Match Mfg. (Paper),4279,4279,259,4279,4279,4279,257,4558
Mattress or Box Spring Mfg.,56699,"2515
2392","337910
314129","Box Spring or Mattress Mfg.
Cushion, Pillow or Quilt Mfg.","2570
2501","2570
2571","165
163","2501
2501","2570
2571","2570
2571","165
163","2881
2501"
FastComp.com 47 (800 ) 476-2948,,,,,,,,,,,,

ISO Description,ISO CGL,SIC,NAICS,General Description,NCCI,CA WC,DE WC,MI WC,NJ WC,NY WC,PA WC,TX WC
,,"2392
2515","314129
337910","Feather Pillow Mfg.
Mattress or Box Spring Mfg.","2501
2570","2571
2570","163
165","2501
2501","2571
2570","2571
2570","163
165","2501
2881"
Mausoleums--Not-For-Profit Only,46005,6553,812220,Mausoleums (Nonprofit),9220,9220,999,9220,9220,9220,999,9220
Mausoleums--Other Than Not-For-Profit,46004,6553,812220,Mausoleums,9220,9220,999,9220,9220,9220,999,9220
"Meat, Fish, Poultry or Seafood Processing--in
Airtight Containers",56759,2092,311712,"Meat, Fish, Poultry or Seafood Processing--in
Airtight Containers",2089,2081,111,2081,2089,2089,111,2081
,,2092,311712,Clam Digging,2114,2113,865,2111,2114,2114,865,2114
"Meat, Fish, Poultry or Seafood Processing--Not",56760,2013,311612,Meat Products Mfg. NOC,2095,2095,119,2095,2095,2095,119,2095
in Airtight Containers,,,,,,,,,,,,
,,2092,311712,Oyster Processing,2114,2113,865,2111,2114,2114,865,2114
,,2013,311612,Sausage or Sausage Casing Mfg.,2095,2095,106,2095,2095,2095,106,2095
"Meat, Fish, Poultry or Seafood Stores",15224,"5421
5421
5421","445220
445210
445210","Fish and Seafood Markets
Store: Fish, Meat or Poultry--Retail
Store: Meat, Fish or Poultry--Retail","8031
8031
8031","8031
8031
8031","915
915
915","8031
8031
8031","8031
8031
8031","8031
8031
8031","915
915
915","8033
8033
8033"
"Meat, Fish, Poultry or Seafood--Curing",56758,"2032
2091","311711
311711","Cannery--Fish (CA)
Fish Curing","2111
2095","2113
2095","113
865","2111
2095","2111
2095","2111
2101","113
865","2111
2095"
"Meat, Fish, Poultry or Seafood--Distributors",15223,"5146
5147
5144","424460
424470
424440","Store: Fish Dealer--Wholesale
Store: Meat Dealer--Wholesale
Store: Poultry Dealer--Wholesale","8021
8021
8021","8021
8021
8021","910
910
910","8021
8021
8021","8021
8021
8021","8021
8021
8021","910
910
910","8034
8034
8034"
Media Mfg.--Blank,57800,3695,334613,Media Mfg.,4431,4922,487,4923,4431,4923,487,4923
Media Mfg.--Pre-Recorded,58627,"3652
8999
7372
7389","334612
512210
334611
512290","Phonograph Record Mfg.
Record Production (NAICS)
Software Reproducing (NAICS)
Sound Recording Industries NOC (NAICS)","4431
4431
4431
4431","4478
4922
4922
4922","487
487
487
487","4484
4923
4923
4923","4431
4431
4431
4431","4431
4923
4923
4923","487
487
487
487","4431
4923
4923
4923"
,,8099,621999,"Ambulatory Health Care Services,",8832,8834,957,8832,8832,8832,957,8832
,,,,Miscellaneous,,,,,,,,
,,8021,621210,Dentist,8832,8839,957,8832,8832,8832,957,8832
,,8071,621512,Diagnostic Imaging Centers,8832,8834,957,8832,8832,8832,957,8832
,,8093,621410,Family Planning Centers,8832,8834,957,8832,8832,8832,957,8832
,,8011,621491,HMO Medical Centers,8832,8834,957,8832,8832,8832,957,8832
,,8092,621492,Kidney Dialysis Centers,8832,8834,957,8832,8832,8832,957,8832
,,8071,621511,Medical Laboratories,8832,8834,957,8832,8832,8832,957,8832
,,8041,621310,Offices of Chiropractors,8832,8834,957,8832,8832,8832,957,8832
Medical Offices,66561,8049,621330,Offices of Mental Health Practitioners (Except,8832,8834,957,8832,8832,8832,957,8832
,,,,Physicians),,,,,,,,
,,8049,621399,Offices of Miscellaneous Health Practitioners,8832,8834,957,8832,8832,8832,957,8832
,,,,(NAICS),,,,,,,,
,,8042,621320,Offices of Optometrists,8832,8834,957,8832,8832,8832,957,8832
,,8049,621340,"Offices of Physical, Occupational and Speech",8832,8834,957,8832,8832,8832,957,8832
,,,,"Therapists, and Audiologists",,,,,,,,
,,8011,621111,Offices of Physicians (Except Mental Health,8832,8834,957,8832,8832,8832,957,8832
,,,,Specialists),,,,,,,,
FastComp.com,,48,,,,,(800 ) 476-2948,,,,,

ISO Description,ISO CGL,SIC,NAICS,General Description,NCCI,CA WC,DE WC,MI WC,NJ WC,NY WC,PA WC,TX WC
,,8011,621112,"Offices of Physicians, Mental Health",8832,8834,957,8832,8832,8832,957,8832
,,,,Specialists,,,,,,,,
,,8043,621391,Offices of Podiatrists,8832,8834,957,8832,8832,8832,957,8832
,,8093,621420,Outpatient Mental Health and Substance,8832,8834,957,8832,8832,8832,957,8832
,,,,Abuse Centers,,,,,,,,
,,8093,621498,Physician,8832,8834,957,8832,8832,8832,957,8832
"Medical, Dental or Surgical Diagnostic or
Treatment Machines or Devices Mfg.",56808,"3845
3845","339114
334510","Dental Equipment and Supplies Mfg. (NAICS)
Thermometer Mfg.","3685
3685","3572
3681","487
488","3685
3685","3685
3685","3685
3685","487
488","3685
3685"
"Medical, Dental, Hospital or Surgical Equipment
or Supplies Mfg.--Expendable",56805,"3842
3842","339113
339113","Artificial Limb Mfg. (DE, PA)
Pharmaceutical or Surgical Goods Mfg. NOC","4693
4693","4691
4691","459
459","4693
4693","4693
4693","4693
4693","459
459","4693
4693"
"Medical, Dental, Hospital or Surgical Equipment
or Supplies Mfg.--Nonexpendable",56806,Var.,339113,"Surgical Appliance and Supplies Mfg.
(NAICS)",3179,3179,473,3179,3179,3179,473,3179
"Medical, Dental, Hospital or Surgical Instruments
Mfg.",56807,3841,339112,"Surgical and Medical Instrument Mfg.
(NAICS)",3685,3682,487,3685,3685,3685,487,3685
"Medical, Hospital and Surgical Equipment and
Supplies--Rented to Others",15300,7352,532490,"Medical, Dental, Hospital and Surgical
Equipment and Supplies--Rented to Others
(CGL)",8107,8028,814,8107,8107,8107,814,8107
"Medical, Hospital and Surgical Supply Stores",15314,5047,423450,"Medical, Dental, and Hospital Equipment and
Supplies Merchant Wholesalers (NAICS)",8018,8018,924,8018,8018,8018,924,8018
Metal Dealers or Distributors--Nonstructural,15404,5039,423390,Concrete Reinforcing Rod or Bar Dealer,8106,8106,857,8106,8106,8106,857,8106
Metal Dealers or Distributors--Structural,15405,"5051
5051","423510
423510","Iron or Steel Merchant
Steel or Iron Merchant","8106
8106","8106
8106","857
857","8106
8106","8106
8106","8106
8106","857
857","8106
8106"
Metal Erection--Decorative or Artistic,97650,1799,237990,"Iron or Steel Erection: Iron, Brass or Bronze--
Decorative or Artistic",5102,5102,658,5102,5099,5102,658,5102
,,1791,238120,Iron or Steel Erection: Frame Structures,5040,5040,655,5040,5040,5040,655,5040
Metal Erection--Frame Structures Iron Work on,97651,1791,238120,Iron or Steel Erection: Frame Structures Not,5059,5059,655,5059,5059,5059,655,5057
Outside of Buildings,,,,over 2 Stories in Height,,,,,,,,
,,1791,238190,Iron or Steel Erection: Iron--Exterior,5040,5040,655,5040,5040,5040,655,5040
"Metal Erection--in the Construction of Dwellings
Not Exceeding 2 Stories in Height",97652,1791,238120,"Iron or Steel Erection: Construction of
Dwellings Not over Two Stories in Height",5069,5059,655,5059,5069,5069,655,5070
Metal Erection--Nonstructural,97653,1799,237990,"Iron or Steel Erection: Iron, Brass or Bronze--
Nonstructural--Interior",5102,5102,658,5102,5099,5102,658,5102
,,1791,238120,"Iron or Steel Erection: Radio, Television or",5040,5040,655,5040,5040,5040,655,5040
,,,,"Water Towers, Smokestacks or Gas Holders",,,,,,,,
"Metal Erection--Steel Lock Gates, Gasholders,",97654,1791,238120,Silo Erection--Glass Fused to Steel,5535,5538,651,5538,5538,5538,651,5538
"Standpipes, Water Towers, Smokestacks,",,,,,,,,,,,,
"Tanks, Silos, Prison Cells, Fire or Burglarproof",,,,,,,,,,,,
Vaults,,,,,,,,,,,,
,,1791,238120,Silo Erection--Metal,5535,5538,655,5538,5538,5538,655,5538
,,1799,237990,Vault Construction or Installation,5057,5057,655,5057,5057,5057,655,5057
Metal Erection--Structural,97655,1791,238120,Iron or Steel Erection NOC,5057,5057,655,5057,5057,5057,655,5057
Metal Foil Mfg.,56910,"3353
3497","331315
332999","Collapsible White Metal Tube and Cap Mfg.
(NJ)
Gold Leaf Mfg.","3334
3383","3018
3383","403
458","3027
3383","3228
3383","3027
3383","403
458","3027
3383"
FastComp.com 49 (800 ) 476-2948,,,,,,,,,,,,

ISO Description,ISO CGL,SIC,NAICS,General Description,NCCI,CA WC,DE WC,MI WC,NJ WC,NY WC,PA WC,TX WC
,,3353,331315,Tinfoil Mfg.,3334,3018,403,3027,4249,3027,403,3027
,,3354,331316,Aluminum Extruded Product Mfg.,3227,3066,454,3066,3227,3227,454,3227
,,Var.,331319,Aluminum Rolling and Drawing NOC (NAICS),3227,3066,454,3066,3227,3227,454,3227
,,3469,332214,Aluminum Ware Mfg. (from Sheet Aluminum),3227,3066,454,3066,3227,3227,454,3227
,,3499,332999,Awning Mfg.--Metal--Manufacture of Metal,3076,3076,456,3076,3076,3076,456,3066
,,,,Awnings Exclusively,,,,,,,,
,,2514,337124,Bedstead Mfg. or Assembly--Metal,3076,3076,456,3076,3076,3076,456,3066
,,3469,332116,Brass or Copper Goods Mfg.,3315,3400,454,3315,3315,3315,454,3146
,,3469,332116,Copper or Brass Goods Mfg.,3315,3400,454,3315,3315,3315,454,3146
,,3449,332114,Coppersmith--Shop,3076,3066,454,3066,3075,3066,454,3066
Metal Goods Mfg.,56911,3469,332116,Explosives or Ammunition Mfg.--Projectile or,3632,3632,461,3632,4771,3632,461,3639
,,,,Shell Mfg.,,,,,,,,
,,3599,332710,Gear Mfg. or Grinding,3635,3632,461,3635,3635,3635,461,3632
,,3429,332510,Hardware Mfg. NOC,3146,3146,445,3146,3146,3146,445,3146
,,3499,332999,Horseshoe Mfg.,3146,3146,431,3146,3146,3146,431,3146
,,3499,332999,Metal Goods Mfg. NOC,3400,3400,454,3400,3400,3400,454,3066
,,3469,332117,"Powder Metal Products Mfg. (DE, PA)",3315,3400,506,3315,1937,3315,506,3146
,,3566,333612,"Speed Changer, Industrial High-Speed Drive,",3635,3632,461,3635,3635,3635,461,3632
,,,,and Gear Mfg. (NAICS),,,,,,,,
,,3493,332611,Spring (Heavy Gauge) Mfg.,3303,3300,435,3303,3300,3303,435,3066
,,3495,332612,Spring (Light Gauge) Mfg.,3303,3300,435,3303,3300,3303,435,3066
,,3944,336991,"Automobile, Automobile Truck or Motorcycle",3851,3840,454,3076,N/A,N/A,454,N/A
,,,,Parts Mfg. (CA),,,,,,,,
,,3466,332115,Bottle Cap or Crown Mfg.,3131,3131,445,3131,3131,3129,445,3131
Metal Goods Mfg.--Stamping--Not Signs,56912,3465,336370,Metal Stamped Goods Mfg. NOC,3400,3400,454,3400,3400,3400,454,3066
,,3469,332116,Metal Stamping Mfg. NOC,3400,3400,454,3400,3400,3400,454,3066
,,3914,339912,Silverware Mfg.,3383,3383,458,3383,3381,3381,458,3383
Metal Heat Processing,56913,"3398
3398","332811
332811","Heat Treating--Metal
Heat Treating--Metal--by Electrical Induction
Process (MI)","3307
3307","3146
3146","433
433","3307
3306","3307
3307","3307
3307","433
433","3372
3372"
,,5093,423930,Iron or Steel Scrap Dealer,8265,8265,858,8265,8265,8265,858,8265
Metal Scrap Dealers,15406,5093,423930,Metal Scrap Dealer (Nonferrous),8500,8500,859,8264,8506,8500,859,8265
,,5093,423930,Metal Scrap Dealer--No Lead (NJ),8500,8500,859,8264,8507,8500,859,8265
,,5093,423930,Steel Drum or Steel Barrel Dealer,8265,8265,858,8265,8269,8265,858,8265
,,,,Secondhand (NJ),,,,,,,,
Metal Works--Shop--Decorative or Artistic,59914,"3446
3446","332323
332323","Iron or Steel Fabrication: Ironworks--Shop--
Decorative or Artistic--Foundries
Iron or Steel Fabrication: Ironworks--Shop--
Ornamental","3041
3040","3040
3040","413
413","3040
3040","3041
3040","3041
3040","413
413","3041
3041"
Metal Works--Shop--Structural--Load Bearing,56915,3441,332312,"Iron or Steel Fabrication: Ironworks or
Steelworks--Shop--Structural (Load Bearing)",3030,3030,411,3030,3030,3030,411,3040
FastComp.com 50 (800 ) 476-2948,,,,,,,,,,,,

ISO Description,ISO CGL,SIC,NAICS,General Description,NCCI,CA WC,DE WC,MI WC,NJ WC,NY WC,PA WC,TX WC
"Metal Works--Shop--Structural--Not Load
Bearing",56916,"3441
3449","332312
332312","Iron or Steel Fabrication: Ironworks or
Steelworks--Shop--Structural (Not Load
Bearing)
Reinforcing Steel Fabrication--Shearing and
Bending (CA)","3030
3030","3030
3039","411
411","3030
3030","3030
3030","3030
3030","411
411","3040
3040"
Metals--Extraction or Refining,56900,"3339
3339","331419
331419","Magnesium Metal Mfg.--All Operations
Metals--Extraction or Refining","1438
1438","1438
1438","551
402","1438
1438","1438
1438","1438
1438","551
402","1438
1438"
,,3312,324199,Blast Furnace Operation,1438,1438,404,1438,1438,1438,404,1438
Metals--Extraction or Refining of Ferrous Metals--,56919,3313,331112,Electrometallurgical Ferroalloy Product Mfg.,3004,3018,404,3004,3004,3004,404,3004
Blast Furnace or Other Pyrometallurgical,,,,(NAICS),,,,,,,,
Processes,,,,,,,,,,,,
,,3312,331111,Iron or Steel Mfg.: Steelmaking,3004,3018,404,3004,3004,3004,404,3004
,,2819,331311,Alumina Refining,1438,1438,402,1438,1438,1438,402,1438
,,3334,331312,Primary Aluminum Production (NAICS),1438,1438,402,1438,1438,1438,402,1438
Metals--Extraction or Refining of Nonferrous,56920,3331,331411,Primary Smelting and Refining of Copper,1438,1438,402,1438,1438,1438,402,1438
Metals--Blast Furnace or Other Pyrometallurgical,,,,(NAICS),,,,,,,,
Processes,,,,,,,,,,,,
,,3341,331314,Secondary Smelting and Alloying of,1438,1438,402,1438,1438,1438,402,1438
,,,,Aluminum (NAICS),,,,,,,,
,,Var.,331423,"Secondary Smelting, Refining and Alloying of",1438,1438,402,1438,1438,1438,402,1438
,,,,Copper (NAICS),,,,,,,,
,,3339,331419,"Smelting, Sintering or Refining--Metals--Not",1438,1438,402,1438,1438,1438,402,1438
,,,,Iron or Lead--NOC,,,,,,,,
"Metals--Extraction or Refining--Chemical
Processes",56917,3339,331419,"Metals--Extraction or Refining--Chemical
Processes",1438,1438,402,1438,1438,1438,402,1438
"Metals--Extraction or Refining--
Electrometallurgical Processes",56918,3313,331492,Smelting--Electric Process,1438,1438,402,1438,1438,1439,402,1438
Mica Goods Mfg.,56980,3299,327999,Mica Goods Mfg. and Mica Preparing,1853,1741,59,1748,1853,1853,50,1701
Milk Depots or Dealers,57001,"5143
5143","424430
424430","Milk Bottle Exchange--All Employees
Milk Depot or Milk Dealer","2070
2070","2063
2063","109
109","2070
2070","2070
2070","2070
2070","109
109","2068
2068"
Milk Processing,57002,"2026
2026","311511
311511","Creamery or Dairy
Dairy or Creamery","2070
2070","2063
2063","109
109","2070
2070","2070
2070","2070
2070","109
109","2068
2068"
,,1222,212112,Bituminous Coal Underground Mining,1016,1123,N/A,N/A,N/A,N/A,1001,1165
,,,,(NAICS),,,,,,,,
,,1231,212113,Coal Mining--NOC (Anthracite),1016,1123,N/A,N/A,N/A,N/A,1010,1165
,,1099,212299,Mining NOC: Not Coal--Underground (All,1164,1123,N/A,1164,N/A,1170,25,1165
,,,,Other Metal Ore),,,,,,,,
,,1499,212399,Mining NOC: Not Coal--Underground (All,1164,1123,N/A,1164,N/A,1170,25,1165
,,,,Other Nonmetallic Mineral Mining),,,,,,,,
,,1021,212234,Mining NOC: Not Coal--Underground (Copper,1164,1123,N/A,1164,N/A,1170,25,1165
,,,,Ore and Nickel Ore),,,,,,,,
,,1041,212221,Mining NOC: Not Coal--Underground (Gold,1164,1123,N/A,1164,N/A,1170,25,1165
,,,,Ore),,,,,,,,
Mining,98002,1011,212210,Mining NOC: Not Coal--Underground (Iron,1164,1123,N/A,1164,N/A,1170,25,1165
,,,,Ore),,,,,,,,
,,N/A,212324,Mining NOC: Not Coal--Underground (Kaolin,1164,1123,N/A,1164,N/A,1170,25,1165
,,,,and Ball Clay Mining),,,,,,,,
,,1031,212231,Mining NOC: Not Coal--Underground (Lead,1164,1123,N/A,1164,N/A,1170,25,1165
,,,,Ore and Zinc Ore),,,,,,,,
,,N/A,212393,Mining NOC: Not Coal--Underground (Other,1164,1123,N/A,1164,N/A,1170,25,1165
,,,,Chemical and Fertilizer Mineral),,,,,,,,
FastComp.com,,51,,,,,(800 ) 476-2948,,,,,

ISO Description,ISO CGL,SIC,NAICS,General Description,NCCI,CA WC,DE WC,MI WC,NJ WC,NY WC,PA WC,TX WC
,,1475,212392,Mining NOC: Not Coal--Underground,1164,1123,N/A,1164,N/A,1170,25,1165
,,,,(Phosphate Rock Mining),,,,,,,,
,,1474,212391,"Mining NOC: Not Coal--Underground (Potash,",1164,1123,N/A,1164,N/A,1170,25,1165
,,,,"Soda, and Borate Mineral)",,,,,,,,
,,1044,212222,Mining NOC: Not Coal--Underground (Silver,1164,1123,N/A,1164,N/A,1170,25,1165
,,,,Ore),,,,,,,,
,,1094,212291,Mining NOC: Not Coal--Underground,1164,1123,N/A,1164,N/A,1170,25,1165
,,,,"(Uranium, Radium, Vanadium)",,,,,,,,
,,1231,212113,Coal Mining--Surface (Anthracite),1005,1124,N/A,1005,N/A,N/A,1012,1165
,,1221,212111,Coal Mining--Surface (Bituminous Coal and,1005,1124,N/A,1005,N/A,N/A,1014,1165
,,,,Lignite),,,,,,,,
,,1099,212299,Mining NOC: Not Coal--Surface (All Other,1165,1122,N/A,1164,N/A,1170,25,1165
,,,,Metal Ore),,,,,,,,
,,1499,212399,Mining NOC: Not Coal--Surface (All Other,1165,1122,N/A,1164,N/A,1624,25,1165
,,,,Nonmetallic Mineral Mining),,,,,,,,
,,1021,212234,Mining NOC: Not Coal--Surface (Copper and,1165,1122,N/A,1164,N/A,1170,25,1165
,,,,Nickel Ores),,,,,,,,
,,1041,212221,Mining NOC: Not Coal--Surface (Gold Ore),1165,1122,N/A,1164,N/A,1170,25,1165
Mining--Surface,98003,1011,212210,Mining NOC: Not Coal--Surface (Iron Ore),1165,1122,N/A,1164,N/A,1170,25,1165
,,N/A,212324,Mining NOC: Not Coal--Surface (Kaolin and,1165,1122,55,1164,N/A,1624,55,1165
,,,,Ball Clay Mining),,,,,,,,
,,1031,212231,Mining NOC: Not Coal--Surface (Lead and,1165,1122,N/A,1164,N/A,1170,25,1165
,,,,Zinc Ores),,,,,,,,
,,N/A,212393,Mining NOC: Not Coal--Surface (Other,1165,1122,N/A,1164,N/A,1624,25,1165
,,,,Chemical and Fertilizer Mineral),,,,,,,,
,,1475,212392,Mining NOC: Not Coal--Surface (Phosphate,1165,1122,N/A,1164,N/A,1624,25,1165
,,,,Rock Mining),,,,,,,,
,,1474,212391,"Mining NOC: Not Coal--Surface (Potash,",1165,1122,N/A,1164,N/A,1624,25,1165
,,,,"Soda, and Borate Mineral)",,,,,,,,
,,1044,212222,Mining NOC: Not Coal--Surface (Silver Ore),1165,1122,N/A,1164,N/A,1170,25,1165
,,1094,212291,"Mining NOC: Not Coal--Surface (Uranium,",1165,1122,N/A,1164,N/A,1170,25,1165
,,,,"Radium, Vanadium)",,,,,,,,
Mobile Home Mfg.,57090,"2451
2451","321991
321991","Automobile Trailer Mfg.--Home Type
Trailer Mfg.--Home Type","2812
2812","2797
2797","451
451","2812
2797","2802
2802","2817
2817","451
451","2881
2881"
Mobile Home Parks or Courts,46202,"7349
6515","561720
531190","Mobile Home Park Operation (CA, NY)
Mobile Home Windstorm Tie-Down
Installation: by Mobile Home Park Operator","9015
9015","9010
9015","971
971","9015
9015","9015
9015","9029
9029","971
971","9015
9015"
